学时,学分,课程名,上课教师,选课人数,上课班级,已排时间地点,课程容量,结课周次,结课星期,上课年级,上课专业,开课周次,开课星期,是否校公选课,课程号,课序号,开课单位,教师号,学校校区,校公选课类别,教室类型,选课课号,课程类别,调课结果,本研标志,课程性质,上课座位数
32,2,燃料电池原理与技术,赵马杰,,01212201,"4-11周 星期一 1-2节 综教B405,4-11周 星期三 6-7节 综教B405",30,11,星期三,2022级,飞行器动力工程,4,1,否,100015033,01,宇航学院,6120210067,良乡校区,,,20242025110001503301,专业基础课程,,本科生,选修,60
32,2,航空宇航推进系统概论,苗龙,,01212201,"4-11周 星期二 1-2节 综教B504,4-11周 星期三 3-4节 综教A503",30,11,星期三,2022级,飞行器动力工程,4,2,否,100015035,01,宇航学院,6120200207,良乡校区,,,20242025110001503501,专业基础课程,,本科生,选修,90
48,3,发射系统概论,"姜毅,杨哩娜",,01232201,"11-18周 星期一 8-10节 综教B406,11-18周 星期三 3-5节 综教B406",30,18,星期三,2022级,武器发射工程,11,1,否,100015036,01,宇航学院,"6120100048,6120190093",良乡校区,,,20242025110001503601,专业课,,本科生,必修,60
32,2,现代控制理论B,孙景亮,,"01052201,01062201,01112201,01112202,01132201,01232201","4-13周 星期四 8-10节 文萃楼F102,14周 星期四 1-2节 文萃楼F102",100,14,星期四,2022级,"飞行器设计与工程, 航空航天工程, 武器发射工程, 工程科学实验班（徐特立英才班）, 航空宇航与智能飞行器技术（徐特立英才班）",4,4,否,100015037,01,宇航学院,6120210261,良乡校区,,,20242025110001503701,专业课,,本科生,必修,121
64,2,电子技术应用与设计,"林德福,王伟",,"01112201,01112202","1周 星期一 2-9节 工训楼908,1周 星期二 2-9节 工训楼908,1周 星期三 2-9节 工训楼908,1周 星期四 2-9节 工训楼908,1周 星期五 2-9节 工训楼908,2周 星期五 2-9节 工训楼908,2周 星期六 2-9节 工训楼908,3周 星期五 2-9节 工训楼908",60,3,星期五,2022级,飞行器设计与工程,1,1,否,100015038,01,宇航学院,"6120102952,6120104686",良乡校区,,,20242025110001503801,实践环节,,本科生,必修,75
32,2,专业创新实践训练,王宁飞,,01212201,"1周 星期一 3-7节 3号楼324,1周 星期二 3-7节 3号楼324,1周 星期三 3-7节 3号楼324,1周 星期四 3-7节 3号楼324,1周 星期五 3-7节 3号楼324,2周 星期五 3-7节 3号楼324,3周 星期五 3-4节 3号楼324",30,3,星期五,2022级,飞行器动力工程,1,1,否,100015041,01,宇航学院,6120103783,良乡校区,,,20242025110001504101,实践环节,,本科生,必修,62
32,2,行星探测动力学与控制,乔栋,,01132201,"5-9周 星期二 3-5节 综教A404,5-9周 星期四 3-5节 综教A404,10周 星期二 3-4节 理教楼309",30,10,星期二,2022级,航空航天工程,5,4,否,100015042,01,宇航学院,6120104678,良乡校区,,,20242025110001504201,专业课,,本科生,选修,98
32,2,力学中数理方法（下）,王学云,,01312201,"12-19周 星期四 6-7节 综教B405,12-19周 星期五 1-2节 综教B405",30,19,星期五,2022级,工程力学,12,4,否,100015043,01,宇航学院,6120170031,良乡校区,,,20242025110001504301,专业基础课程,,本科生,必修,60
32,2,系统工程导论,史人赫,,"01052201,01112201,01112202","4-8周 星期一 8-10节 文萃楼I103,4-8周 星期四 3-5节 文萃楼I103,9周 星期一 6-7节 综教B306",30,9,星期一,2022级,"飞行器设计与工程, 工程科学实验班（徐特立英才班）",4,1,否,100015044,01,宇航学院,6120210062,良乡校区,,,20242025110001504401,专业课,,本科生,选修,60
64,4,固体力学核心贯通课II,刘刘,,"01052201,01332201","4-19周 星期一 8-9节 理教楼309,4-19周 星期三 3-4节 综教B502",36,19,星期三,2022级,"工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,1,否,100015045,01,宇航学院,6120104838,良乡校区,,,20242025110001504501,专业基础课程,,本科生,必修,94
